success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,FALSE
,,,,,html-keyboard-response,67,344741,0.0-3.0-0.32,102,null,,null,trinary,,,,,0,0,0,null,null,null,null,null,null,null,1,,FALSE
,,,,,html-keyboard-response,68,350336,0.0-3.0-1.32,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,69,351774,0.0-3.0-0.33,102,1432,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\KifKef.PNG', width=""238.02905874921038"", height=""300""></span></span>
                    </p>",3,trinary,,target2,distractor,target1,stimuli\KifKef.PNG,stimuli\Branflakesextra.png,stimuli\ParaChocolate.png,1,10,23,90,60,22.66666667,9,0,target1,FALSE
,,,,,html-keyboard-response,70,360754,0.0-3.0-1.33,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,71,362138,0.0-3.0-0.34,102,1381,"
                    <p class=""options"">
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\Oreo.PNG', width=""300"", height=""168.046875""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\YadMordechai.png,stimuli\Filtunamaybe.png,stimuli\Oreo.PNG,3,6,11,83.33333333,70,60,3,0,target2,FALSE
,,,,,html-keyboard-response,72,370694,0.0-3.0-1.34,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,73,372069,0.0-3.0-0.35,102,1369,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Smarties.PNG', width=""300"", height=""102.57214554579673""></span></span>
                      <span><span><img src='stimuli\Branflakes.png', width=""219.87127916331454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                    </p>",3,trinary,,distractor,target2,target1,stimuli\Sano99.png,stimuli\Branflakes.png,stimuli\Smarties.PNG,2,9,31,86.66666667,62.66666667,0,7,0,target1,FALSE
,,,,,html-keyboard-response,74,381006,0.0-3.0-1.35,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,75,385026,0.0-3.0-0.36,102,null,,null,trinary,,,,,0,0,0,null,null,null,null,null,null,null,1,,FALSE
,,,,,html-keyboard-response,76,390788,0.0-3.0-1.36,102,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,TRUE
